Item Name,Qty,Price (total) (USD),Item link,Notes
XL4015 DCDC step-down converter,1,$2.66,https://ja.aliexpress.com/item/1005006127518056.html?gatewayAdapt=glo2jpn#nav-review,"For faster shipping, I've ordered a different one."
"JGA25-370 DC Reduction Motor with Encoder - 12V, 280RPM",1,$5.00,https://www.amazon.co.jp/-/en/JGA25-370-Reduction-Encoder-Measurement-Strong/dp/B0BBT1Q1L7?th=1,-
LCD Blue Screen IIC/I2C 2004 5V LCD Module for Arduino,1,$4.31,https://www.amazon.co.jp/KKHMF-LCD-%E3%83%96%E3%83%AB%E3%83%BC%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%B3-2004-%E3%83%A2%E3%82%B8%E3%83%A5%E3%83%BC%E3%83%ABArduino%E7%94%A8/dp/B014MBRDXY,-
Alps EC11E Rotary Encoder,1,$3.39,https://www.monotaro.com/p/5019/9653/, -
Arduino Nano Every,1,$3.32,https://ja.aliexpress.com/item/1005009007048978.html?spm=a2g0o.productlist.main.1.5f244fb0CQQ7NQ&algo_pvid=26c9e1da-78a3-43cd-8583-6daa28f39771&algo_exp_id=26c9e1da-78a3-43cd-8583-6daa28f39771-0&pdp_ext_f=%7B%22order%22%3A%224709%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21JPY%212279%21596%21%21%2193.85%2124.55%21%40212e520f17833368962088260e2c82%2112000047554911873%21sea%21JP%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A10bded85%3Bm03_new_user%3A-29895%3BpisId%3A5000000210893599&curPageLogUid=Z3lVB11il7dK&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009007048978%7C_p_origin_prod%3A,-
Male to Female Jumper Wire,4,$1.27,https://ja.aliexpress.com/item/1005006616309305.html?spm=a2g0o.productlist.main.22.495e5679u5NIae&aem_p4p_detail=20260706042734779539787023800004254674&algo_pvid=12cb1bc2-74bd-47c4-ab0c-4cfab0362cae&algo_exp_id=12cb1bc2-74bd-47c4-ab0c-4cfab0362cae-19&pdp_ext_f=%7B%22order%22%3A%221481%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21JPY%21162%21139%21%21%210.98%210.84%21%40210141f717833372540044089ea1eb%2112000037832224162%21sea%21JP%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A10bded85%3Bm03_new_user%3A-29895&curPageLogUid=7d3j23TrAWTj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006616309305%7C_p_origin_prod%3A&search_p4p_id=20260706042734779539787023800004254674_5,10cm should be sufficient
# 2pcs 902540 3.7V Battery LIPO Lipo Battery 800mAh Battery,1,$8.01,https://www.amazon.co.jp/-/en/2pcs-902540-Battery-800mAh-Drone/dp/B0GGHPSYZ7?crid=178IX3BYRONUD&dib=eyJ2IjoiMSJ9.gnWILACyYgdu2AtJWz-Q15tv8IVhpi-14Ny1lzd_shXT0ptj0pcGcrKUds12ozBjwAKugvMiGpk9IJTkMXHU2_VZHPDrXllLtcTKVFVP91Py6K3_Lnz4L3aPuB68flx2GzmH3v33JkZbq6tz48VAcd0oJG9zQUsnbH4Rs79b6K7zrn-ot5wu-mPG1zG1V6uMD_PLa5Wjpar9tGu_CpE7fUpqUYBwllS08eGof5ZvOexPMNX1Hf3_Wsg27bwYR10dlwsjIbl9ozy8f6aR44Yij44YiW27DGfj4A1WN0vInLY.7w6LZ7R5i1eYA33umAx3ulGQ-1bwW1Q_A8D6ao1iwu0&dib_tag=se&keywords=9v+lipo+battery&qid=1783093079&sprefix=9v+lipo+batter%2Caps%2C189&sr=8-46,First time working with batteries - not sure if this is the right kind
1.25T-2A: Connector for Lipo Battery,2,$0.01,https://jlcpcb.com/partdetail/BOOMELE_Boom_Precision_Elec-1_25T2A/C10819,Assembled by JLCPCB
WAFER-PH2.0-6PWB,1,$0.12,https://jlcpcb.com/partdetail/XUNPU-WAFER_PH2_06PWB/C3029444,Assembled by JLCPCB
2.54 Pitch PIn sockets - ,1,$3.33,https://ja.aliexpress.com/item/1005007987705629.html?spm=a2g0o.productlist.main.1.255f9175AME5EQ&algo_pvid=4776b1f9-d993-4e8a-84c3-8bc1ab68664a&algo_exp_id=4776b1f9-d993-4e8a-84c3-8bc1ab68664a-0&pdp_ext_f=%7B%22order%22%3A%221320%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007987705629%22%2C%22orig_item_id%22%3A%221005005666298784%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21JPY%21541%21235%21%21%2122.26%219.68%21%402141115b17833424048074555e6f52%2112000043169141917%21sea%21JP%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A10bded85%3Bm03_new_user%3A-29895%3BpisId%3A5000000210478023&curPageLogUid=CK0XiXW3Ev6p&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007987705629%7C_p_origin_prod%3A1005005666298784,I will buy a quicker shipping option one. 
Magnets 5-pack,1,$5.58,https://www.migros.ch/en/product/721586900000,There are definitely cheaper magnets - These are the ones I have currently. (and fit the dimensions of the design
